"","Publisher","Dagger","Book review link","Author","Primary isbn10","Price","Primary isbn13","Sunday review link","Date","First chapter link","Contributor","Title","AgeGroup","WeeksOnList"
"1310","HarperCollins Publishers",0,NA,"Jennifer McMahon","61807583",12.15,"9.78006E+12",NA,2012-02-05,NA,"by Jennifer McMahon","ISLAND OF LOST GIRLS","Adult",1
"1311","HarperCollins Publishers",0,NA,"Bernard Cornwell","62097113",11.51,"9.78006E+12",NA,2012-02-05,NA,"by Bernard Cornwell","DEATH OF KINGS","Adult",1
"1312","St. Martin's Press",0,NA,"Nevada Barr","1429951133",10.77,"9.78143E+12",NA,2012-02-05,NA,"by Nevada Barr","THE ROPE","Young Adult",1
"1313","Simon & Schuster",0,NA,"Kresley Cole","1439177023",16.68,"9.78144E+12",NA,2012-01-29,NA,"by Kresley Cole","LOTHAIRE","Teen",1
"1314","Dutton",0,NA,"Lisa Gardner","None",7.44,"9.7811E+12",NA,2012-01-29,NA,"by Lisa Gardner","THE 7TH MONTH","Adult",1
"1315","Penguin Group",0,NA,"Jayne Ann Krentz",NA,7.75,"9.7811E+12",NA,2012-01-29,NA,"by Jayne Ann Krentz","COPPER BEACH","Young Adult",1
"1316","Grand Central Publishing",0,NA,"Douglas Preston and Lincoln Child","446564354",13.04,"9.78045E+12",NA,2012-01-29,NA,"by Douglas Preston and Lincoln Child","GIDEON   S CORPSE","Adult",1
"1317","Harlequin",0,NA,"Ron Carr","None",9.17,"9.78146E+12",NA,2012-01-15,NA,"by Robyn Carr","HIDDEN SUMMIT","Young Adult",1
"1318","Penguin Group",0,NA,"Christine Feehan","None",16.83,"9.7811E+12",NA,2012-01-15,NA,"by Christine Feehan","SPIRIT BOUND","Adult",1
"1319","Penguin Group",0,NA,"Lora Leigh","None",13.91,"9.7811E+12",NA,2011-12-25,NA,"by Lora Leigh","LAWE S JUSTICE","Adult",1
"1320","HarperCollins Publishers",0,NA,"Garth Stein","61738093",5.37,"9.78006E+12",NA,2011-12-18,NA,"by Garth Stein","THE ART OF RACING IN THE RAIN","Adult",1
"1321","Zondervan",0,NA,"Karen Kingsbury","None",2.08,"9.78031E+12",NA,2011-12-11,NA,"by Karen Kingsbury","LONGING","Young Adult",1
"1322","Random House Publishing",0,NA,"Drew Karpyshyn","345511344",15.26,"9.78035E+12",NA,2011-12-04,NA,"by Drew Karpyshyn","THE OLD REPUBLIC  REVAN","Adult",1
"1323","Tom Doherty Associates",0,NA,"Brandon Sanderson","1429994894",14.13,"9.78143E+12",NA,2011-11-27,NA,"by Brandon Sanderson","THE ALLOY OF LAW","Childhood",1
"1324","St. Martin’s Press",0,NA,"Sherrilyn Kenyon","None",14.81,"9.78143E+12",NA,2011-11-20,NA,"by Sherrilyn Kenyon","THE GUARDIAN","Young Adult",1
"1325","Harlequin",0,NA,"Susan Mallery","1426834101",5.93,"9.78143E+12",NA,2011-11-20,NA,"by Susan Mallery","ONLY US","Adult",1
"1326","Simon & Schuster",0,NA,"Richard Paul Evans","1451628005",9.24,"9.78145E+12",NA,2011-11-20,NA,"by Richard Paul Evans","LOST DECEMBER","Teen",1
"1327","Center Street",0,NA,"Ted Dekker","1599952602",2.55,"9.7816E+12",NA,2011-11-13,NA,"by Ted Dekker","BONEMAN S DAUGHTERS","Young Adult",1
"1328","Threshold Editions",0,NA,"Glenn Beck","1439187207",0.15,"9.78144E+12",NA,2011-11-13,NA,"by Glenn Beck","THE SNOW ANGEL","Adult",1
"1329","HarperCollins Publishers",0,NA,"Guillermo del Toro and Chuck Hogan","62066048",0.77,"9.78006E+12",NA,2011-11-13,NA,"by Guillermo del Toro and Chuck Hogan","THE NIGHT ETERNAL","Adult",1
"1330","Tyndale House",0,NA,"Joel C Rosenberg","1414365365",7.96,"9.78141E+12",NA,2011-11-06,NA,"by Joel C. Rosenberg","THE TEHRAN INITIATIVE","Teen",1
"1331","Paragon Press",0,NA,"Douglas E Richards","None",4.75,"9.78098E+12",NA,2011-11-06,NA,"by Douglas E. Richards","WIRED","Childhood",1
"1332","Knopf Doubleday Publishing",0,"https://www.nytimes.com/2011/10/17/books/Julian-Barness-Sense-of-an-Ending-Review.html","Julian Barnes","307957330",12.41,"9.78031E+12","https://www.nytimes.com/2011/11/13/books/review/the-sense-of-an-ending-by-julian-barnes-book-review.html",2011-11-06,NA,"by Julian Barnes","THE SENSE OF AN ENDING","Adult",1
"1333","Simon & Schuster",0,NA,"Philippa Gregory","141656392X",2.42,"9.78142E+12",NA,2011-11-06,NA,"by Philippa Gregory","THE LADY OF THE RIVERS","Adult",1
"1334","HarperCollins Publishers",0,NA,"Terry Pratchett","62011847",6.3,"9.78006E+12",NA,2011-10-30,NA,"by Terry Pratchett","SNUFF","Young Adult",1
"1335","Atria",0,NA,"James Wesley, Rawles","1439172803",2.39,"9.78144E+12",NA,2011-10-23,NA,"by James Wesley, Rawles","SURVIVORS","Young Adult",1
"1336","Simon & Schuster",0,NA,"James Lee Burke","1451643144",7.75,"9.78145E+12",NA,2011-10-16,NA,"by James Lee Burke","FEAST DAY OF FOOLS","Teen",1
"1337","HQN",0,NA,"Susan Mallery","None",18.96,"9.78146E+12",NA,2011-10-16,NA,"by Susan Mallery","ONLY HIS","Adult",1
"1338","HQN",0,NA,"Gena Showalter","None",12.78,"9.78146E+12",NA,2011-10-16,NA,"by Gena Showalter","THE DARKEST SURRENDER","Young Adult",1
"1339","HarperCollins",0,NA,"Stephanie Laurens","None",2.25,"9.78006E+12",NA,2011-10-16,NA,"by Stephanie Laurens","IN PURSUIT OF ELIZA CYNSTER","Young Adult",1
"1340","Penguin Group",0,NA,"Stuart Woods","None",7.24,"9.7811E+12",NA,2011-10-09,NA,"by Stuart Woods","SON OF STONE","Teen",1
"1341","Thorndike",0,NA,"Fern Michaels","None",16.81,"9.78142E+12",NA,2011-10-09,NA,"by Fern Michaels","LISTEN TO YOUR HEART","Adult",1
"1342","HarperCollins",0,NA,"Neal Stephenson","61977969",15.6,"9.78006E+12","https://www.nytimes.com/2011/09/25/books/review/reamde-by-neal-stephenson-book-review.html",2011-10-09,NA,"by Neal Stephenson","REAMDE","Childhood",1
"1343","Center Street",0,NA,"Karen Kingsbury","1599951193",14.14,"9.7816E+12",NA,2011-10-02,NA,"by Karen Kingsbury","A THOUSAND TOMORROWS","Childhood",1
"1344","Penguin Group",0,NA,"Michael Brandman","399157840",14.98,"9.7804E+12",NA,2011-10-02,NA,"by Michael Brandman","ROBERT B  PARKER   S KILLING THE BLUES","Young Adult",1
"1345","St. Martin's",0,NA,"Jackie Collins","1429962232",3.76,"9.78143E+12",NA,2011-10-02,NA,"by Jackie Collins","GODDESS OF VENGEANCE","Adult",1
"1346","Penguin Group",0,NA,"Barbara Freethy","None",16.78,"2.94001E+12",NA,2011-10-02,NA,"by Barbara Freethy","SILENT RUN","Childhood",1
"1347","Berkley",0,NA,"Christine Feehan","None",5.41,"9.7811E+12",NA,2011-09-25,NA,"by Christine Feehan","DARK PREDATOR","Adult",1
"1348","Penguin Group",0,NA,"JR Ward","None",7.34,"9.7811E+12",NA,2011-09-25,NA,"by J.R. Ward","ENVY","Young Adult",1
"1349","Random House",0,NA,"Linda Howard","345526295",6.82,"9.78035E+12",NA,2011-09-25,NA,"by Linda Howard","PREY","Teen",1
"1350","Penguin Group",0,NA,"Jayne Castle","None",5.44,"9.7811E+12",NA,2011-09-18,NA,"by Jayne Castle","CANYONS OF NIGHT","Adult",1
"1351","Harlequin",0,NA,"Susan Mallery","None",11.51,"9.78146E+12",NA,2011-09-18,NA,"by Susan Mallery","ONLY YOURS","Young Adult",1
"1352","HarperCollins",0,NA,"Jeaniene Frost","None",17.7,"9.78006E+12",NA,2011-09-18,NA,"by Jeaniene Frost","ONE GRAVE AT A TIME","Young Adult",1
"1353","HarperCollins",0,NA,"Stephanie Laurens","None",7.28,"9.78006E+12",NA,2011-09-18,NA,"by Stephanie Laurens","VISCOUNT BRECKENRIDGE TO THE RESCUE","Adult",1
"1354","HarperCollins",0,NA,"Johanna Lindsey",NA,13.91,"9.78006E+12",NA,2011-09-11,NA,"by Johanna Lindsey","HEARTS AFLAME","Young Adult",1
"1355","Doherty",0,NA,"Terry Goodkind","765327724",15.92,"9.78077E+12",NA,2011-09-04,NA,"by Terry Goodkind","THE OMEN MACHINE","Adult",1
"1356","Putnam",0,NA,"W E B Griffin and William E Butterworth IV","None",14,"9.7811E+12",NA,2011-08-28,NA,"by W. E. B. Griffin and William E. Butterworth IV","VICTORY AND HONOR","Young Adult",1
"1357","St. Martin’s",0,NA,"Sherrilyn Kenyon","None",7.7,"9.78143E+12",NA,2011-08-21,NA,"by Sherrilyn Kenyon","RETRIBUTION","Young Adult",1
"1358","St. Martin's",0,NA,"Iris Johansen","None",12.36,"9.78143E+12",NA,2011-07-31,NA,"by Iris Johansen","QUINN","Adult",1
"1359","Random House",0,NA,"Lara Adrian","044033991X",0.3,"9.78044E+12",NA,2011-07-17,NA,"by Lara Adrian","DEEPER THAN MIDNIGHT","Adult",1
"1360","Harlequin",0,NA,"Lori Foster","None",8.72,"9.78146E+12",NA,2011-07-17,NA,"by Lori Foster","SAVOR THE DANGER","Adult",1
"1361","Zondervan",0,NA,"Karen Kingsbury","031042755X",9.23,"9.78031E+12",NA,2011-07-10,NA,"by Karen Kingsbury","LEARNING","Teen",1
"1362","Random House",0,NA,"Karin Slaughter","345528220",13.6,"9.78035E+12",NA,2011-07-10,NA,"by Karin Slaughter","FALLEN","Adult",1
"1363","HarperCollins",0,NA,"Dorothea Benton Frank","61961272",0.64,"9.78006E+12",NA,2011-07-03,NA,"by Dorothea Benton Frank","FOLLY BEACH","Adult",1
"1364","Random House",0,NA,"Ann Brashares","679605096",2.32,"9.78068E+12",NA,2011-07-03,NA,"by Ann Brashares","SISTERHOOD EVERLASTING","Young Adult",1
"1365","Penguin Group",0,NA,"Laurell K Hamilton","425241130",16.52,"9.78043E+12",NA,2011-06-26,NA,"by Laurell K. Hamilton","HIT LIST","Childhood",1
"1366","St. Martin's",0,NA,"Mary Kay Andrews","None",3.09,"9.78143E+12",NA,2011-06-26,NA,"by Mary Kay Andrews","SUMMER RENTAL","Young Adult",1
"1367","HarperCollins",0,NA,"Julia Quinn","62079530",4.55,"9.78006E+12",NA,2011-06-19,NA,"by Julia Quinn","JUST LIKE HEAVEN","Young Adult",1
"1368","Harlequin",0,NA,"Linda Lael Miller","373775806",3.56,"9.78037E+12",NA,2011-06-19,NA,"by Linda Lael Miller","CREED S HONOR","Adult",1
"1369","Mira",0,NA,"Sherryl Woods","None",2.65,"9.78146E+12",NA,2011-06-19,NA,"by Sherryl Woods","BEACH LANE","Young Adult",1
"1370","Penguin Group",0,NA,"Ilona Andrews","None",13.69,"9.7811E+12",NA,2011-06-19,NA,"by Ilona Andrews","MAGIC SLAYS","Young Adult",1
"1371","Random House",0,NA,"Dean Koontz","553593684",5.54,"9.78055E+12",NA,2011-06-12,NA,"by Dean Koontz","FRANKENSTEIN  THE DEAD TOWN","Young Adult",1
"1372","Random House",0,NA,"Aaron Allston","345509102",19.25,"9.78035E+12",NA,2011-06-12,NA,"by Aaron Allston","CONVICTION","Young Adult",1
"1373","Grand Central",0,NA,"David Baldacci","1455504394",14.42,"9.78146E+12",NA,2011-05-22,NA,"by David Baldacci","NO TIME LEFT","Young Adult",1
"1374","Penguin Group",0,NA,"Christine Feehan","515149330",17.92,"9.78052E+12",NA,2011-05-15,NA,"by Christine Feehan","SAVAGE NATURE","Young Adult",1
"1375","Penguin Group",0,NA,"Stuart Woods","None",0.55,"9.7811E+12",NA,2011-05-15,NA,"by Stuart Woods","BEL AIR DEAD","Young Adult",1
"1376","Harlequin",0,NA,"Sherryl Woods","778329798",19.88,"9.78078E+12",NA,2011-05-15,NA,"by Sherryl Woods","MOONLIGHT COVE","Teen",1
"1377","HarperCollins",0,NA,"Rachel Gibson","62079166",12,"9.78006E+12",NA,2011-05-15,NA,"by Rachel Gibson","ANY MAN OF MINE","Teen",1
"1378","St. Martin's",0,NA,"Iris Johansen","1429920165",11.58,"9.78143E+12",NA,2011-05-08,NA,"by Iris Johansen","EVE","Young Adult",1
"1379","Penguin Group",0,NA,"Amanda Quick","None",3.31,"9.7811E+12",NA,2011-05-08,NA,"by Amanda Quick","QUICKSILVER","Adult",1
"1380","Penguin Group",0,NA,"Lora Leigh","None",12.24,"9.7811E+12",NA,2011-04-24,NA,"by Lora Leigh","NAVARRO S PROMISE","Childhood",1
"1381","Harlequin",0,NA,"Gena Showalter","None",9.93,"9.78143E+12",NA,2011-04-17,NA,"by Gena Showalter","THE DARKEST SECRET","Adult",1
"1382","Kensington",0,NA,"Fern Michaels","1420122487",17.09,"9.78142E+12",NA,2011-04-17,NA,"by Fern Michaels","HOME FREE","Teen",1
"1383","Knopf Doubleday",0,"https://www.nytimes.com/2011/03/28/books/troubled-man-by-henning-mankell-review.html","Henning Mankell","307593495",15.03,"9.78031E+12",NA,2011-04-17,NA,"by Henning Mankell","THE TROUBLED MAN","Adult",1
"1384","Knopf Doubleday",0,NA,"Alexander McCall Smith","030737839X",18.34,"9.78031E+12",NA,2011-04-10,NA,"by Alexander McCall Smith","THE SATURDAY BIG TENT WEDDING PARTY","Adult",1
"1385","Zondervan",0,NA,"Karen Kingsbury","310266289",14.31,"9.78031E+12",NA,2011-04-10,NA,"by Karen Kingsbury","LEAVING","Young Adult",1
"1386","Random House",0,"https://www.nytimes.com/2011/03/11/books/the-tigers-wife-by-tea-obreht-book-review.html","Tea Obreht","385343833",0.81,"9.78039E+12","https://www.nytimes.com/2011/03/13/books/review/book-review-the-tigers-wife-by-tea-obreht.html",2011-04-03,"https://www.nytimes.com/2011/03/11/books/excerpt-the-tigers-wife-by-tea-obreht.html","by Tea Obreht","THE TIGER   S WIFE","Adult",1
"1387","St. Martin’s",0,NA,"Lora Leigh","1429985356",18.67,"9.78143E+12",NA,2011-03-20,NA,"by Lora Leigh","LIVE WIRE","Young Adult",1
"1388","HarperCollins",0,NA,"Kim Harrison","61138061",3.46,"9.78006E+12",NA,2011-03-13,NA,"by Kim Harrison","PALE DEMON","Young Adult",1
"1389","Grand Central",0,NA,"Douglas Preston and Lincoln Child","044656432X",11.03,"9.78045E+12",NA,2011-03-13,NA,"by Douglas Preston and Lincoln Child","GIDEON   S SWORD","Adult",1
"1390","HarperCollins",0,NA,"Jeaniene Frost","62065793",9.73,"9.78006E+12",NA,2011-03-13,NA,"by Jeaniene Frost","THIS SIDE OF THE GRAVE","Adult",1
"1391","Random House",0,NA,"Jamie Ford","345512502",4.83,"9.78035E+12","https://www.nytimes.com/2009/04/12/books/review/McCulloch-t.html",2011-03-06,NA,"by Jamie Ford","HOTEL ON THE CORNER OF BITTER AND SWEET","Childhood",1
"1392","Penguin Group",0,NA,"Alex Berenson","None",13.44,"9.7811E+12","https://www.nytimes.com/2011/02/27/books/review/Pruzan-t.html",2011-02-27,NA,"by Alex Berenson","THE SECRET SOLDIER","Adult",1
"1393","Simon & Schuster",0,NA,"JA Jance","141656389X",19.69,"9.78142E+12",NA,2011-02-20,NA,"by J.A. Jance","FATAL ERROR","Adult",1
"1394","Berkley",0,NA,"J D Robb","1101987995",3.92,"9.7811E+12",NA,2017-01-29,NA,"by J. D. Robb","APPRENTICE IN DEATH","Young Adult",0
"1395","Dial Press",0,NA,"Mary Ann Shaffer and Annie Barrows","440337976",7.62,"9.78044E+12",NA,2017-01-29,NA,"by Mary Ann Shaffer and Annie Barrows","THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY","Childhood",0
"1396","Random House",0,NA,"Debbie Macomber","553391860",7.85,"9.78055E+12",NA,2017-01-29,NA,"by Debbie Macomber","SWEET TOMORROWS","Young Adult",0
"1397","Little, Brown",0,NA,"James Patterson and David Ellis","1455589918",15.81,"9.78146E+12",NA,2017-01-29,NA,"by James Patterson and David Ellis","THE MURDER HOUSE","Young Adult",0
"1398","Doubleday",0,NA,"Chris Bohjalian","385538928",2.26,"9.78039E+12",NA,2017-01-29,NA,"by Chris Bohjalian","THE SLEEPWALKER","Teen",0
"1399","Penguin",0,NA,"Jojo Moyes","None",16.48,"9.7807E+12",NA,2017-01-22,NA,"by Jojo Moyes","SILVER BAY","Young Adult",0
"1400","Putnam",0,NA,"Mark Greaney","None",15.36,"9.7807E+12",NA,2017-01-22,NA,"by Mark Greaney","TOM CLANCY TRUE FAITH AND ALLEGIANCE","Young Adult",0
"1401","HQN",0,NA,"Diana Palmer","373789947",13.51,"9.78037E+12",NA,2017-01-15,NA,"by Diana Palmer","WYOMING BRAVE","Adult",0
"1402","Crown/Archetype",0,"https://www.nytimes.com/2016/07/31/books/review/dark-matter-blake-crouch.html","Blake Crouch","1101904232",11.87,"9.7811E+12",NA,2017-01-15,NA,"by Blake Crouch","DARK MATTER","Young Adult",0
"1403","Aurora Rose Reynolds",0,NA,"Aurora Rose Reynolds","None",18.46,"A00B01LYEOR3I",NA,2017-01-15,NA,"by Aurora Rose Reynolds","UNTIL ASHLYN","Childhood",0
"1404","Ilona Andrews",0,NA,"Ilona Andrews","1943772711",16.04,"9.78194E+12",NA,2017-01-08,NA,"by Ilona Andrews","ONE FELL SWEEP","Childhood",0
"1405","Little, Brown",0,NA,"Stephenie Meyer","316387835",8.34,"9.78032E+12",NA,2017-01-01,NA,"by Stephenie Meyer","THE CHEMIST","Adult",0
"1406","HTJB",0,NA,"Marie Force","1946136034",16.37,"9.78195E+12",NA,2017-01-01,NA,"by Marie Force","LIGHT AFTER DARK","Young Adult",0
"1407","Harper/HarperCollins",0,"https://www.nytimes.com/2016/11/20/books/review/michael-chabon-moonglow.html","Michael Chabon","62225553",2.18,"9.78006E+12",NA,2017-01-01,NA,"by Michael Chabon","MOONGLOW","Adult",0
"1408","Orbit",0,NA,"James S A Corey","316217638",7.93,"9.78032E+12",NA,2016-12-25,NA,"by James S. A. Corey","BABYLON S ASHES","Adult",0
"1409","Little, Brown",0,NA,"James Patterson with Richard DiLallo","316319996",7.18,"9.78032E+12",NA,2016-12-25,NA,"by James Patterson with Richard DiLallo","THE CHRISTMAS MYSTERY","Teen",0
"1410","Morrow/HarperCollins",0,NA,"Christina Baker Kline",NA,0.71,"9.78006E+12",NA,2016-12-18,NA,"by Christina Baker Kline","ORPHAN TRAIN","Childhood",0
"1411","Berkley",0,NA,"Jayne Ann Krentz","None",5.84,"9.7807E+12",NA,2016-12-18,NA,"by Jayne Ann Krentz","WHEN ALL THE GIRLS HAVE GONE","Young Adult",0
"1412","Putnam",0,NA,"Clive Cussler and Dirk Cussler","399575510",5.41,"9.7804E+12",NA,2016-12-18,NA,"by Clive Cussler and Dirk Cussler","ODESSA SEA","Adult",0
"1413","Minotaur",0,NA,"Louise Penny","1250022126",12.57,"9.78125E+12",NA,2016-12-11,NA,"by Louise Penny","A GREAT RECKONING","Young Adult",0
"1414","Morrow",0,NA,"Patricia Cornwell","62436686",13.73,"9.78006E+12",NA,2016-12-11,NA,"by Patricia Cornwell","CHAOS","Childhood",0
"1415","Bantam",0,NA,"Janet Evanovich","345542975",3.51,"9.78035E+12",NA,2016-12-11,NA,"by Janet Evanovich","TRICKY TWENTY TWO","Adult",0
"1416","Simon & Schuster",0,NA,"Mary Higgins Clark and Alafair Burke","1501108581",19.94,"9.7815E+12",NA,2016-12-11,NA,"by Mary Higgins Clark and Alafair Burke","THE SLEEPING BEAUTY KILLER","Young Adult",0
"1417","Penguin Press",0,"https://www.nytimes.com/2016/11/13/books/review/zadie-smith-swing-time.html","Zadie Smith","1594203989",15.04,"9.78159E+12",NA,2016-12-04,NA,"by Zadie Smith","SWING TIME","Adult",0
"1418","Plain Jane",0,NA,"Kristen Callihan","None",0.67,"A00B01M23RUSL",NA,2016-12-04,NA,"by Kristen Callihan","MANAGED","Teen",0
"1419","JKB",0,NA,"K Bromberg","1942832036",2.44,"9.78194E+12",NA,2016-12-04,NA,"by K. Bromberg","SWEET CHEEKS","Adult",0
"1420","Delacorte",0,NA,"Danielle Steel","1101883855",5,"9.7811E+12",NA,2016-11-27,NA,"by Danielle Steel","THE AWARD","Adult",0
"1421","Emily Bestler/Atria",0,NA,"Kyle Mills","1476783489",19.21,"9.78148E+12",NA,2016-11-27,NA,"by Kyle Mills","VINCE FLYNN  ORDER TO KILL","Young Adult",0
"1422","Rutherford",0,NA,"Jana Aston","069252777X",14.96,"9.78069E+12",NA,2016-11-27,NA,"by Jana Aston","WRONG","Childhood",0
"1423","Anchor",0,"https://www.nytimes.com/2013/05/13/books/inferno-by-dan-brown.html","Dan Brown","1101972971",18.53,"9.7811E+12",NA,2016-11-27,NA,"by Dan Brown","INFERNO","Teen",0
"1424","Rutherford",0,NA,"Jana Aston","998244414",13.29,"9.781E+12",NA,2016-11-27,NA,"by Jana Aston","TRUST","Childhood",0
"1425","Harper/HarperCollins",0,"https://www.nytimes.com/2016/09/18/books/review/ann-patchett-commonwealth.html","Ann Patchett","62491814",6.54,"9.78006E+12",NA,2016-11-20,NA,"by Ann Patchett","COMMONWEALTH","Young Adult",0
"1426","Farrar, Straus & Giroux",0,"https://www.nytimes.com/2015/04/12/books/review/paul-beatty-sellout.html","Paul Beatty","1250083257",14.19,"9.78125E+12","https://www.nytimes.com/2015/04/12/books/review/12bkr-young.t.html",2016-11-20,NA,"by Paul Beatty","THE SELLOUT","Adult",0
"1427","Little, Brown",0,NA,"Michael Connelly","1455524158",11.11,"9.78146E+12",NA,2016-11-20,NA,"by Michael Connelly","THE CROSSING","Adult",0
"1428","Baen Books",0,NA,"David Weber","None",8.07,"9.78163E+12",NA,2016-11-20,NA,"by David Weber","SHADOW OF VICTORY","Teen",0
"1429","KT Publishing",0,NA,"Katy Evans","997263636",7.09,"9.781E+12",NA,2016-11-20,NA,"by Katy Evans","MR  PRESIDENT","Adult",0
"1430","Grand Central",0,NA,"Douglas Preston and Lincoln Child","1455536911",11.03,"9.78146E+12",NA,2016-11-13,NA,"by Douglas Preston and Lincoln Child","THE OBSIDIAN CHAMBER","Young Adult",0
"1431","Morrow",0,NA,"Susan Wiggs","62425471",2.28,"9.78006E+12",NA,2016-11-13,NA,"by Susan Wiggs","FAMILY TREE","Young Adult",0
"1432","Flip City Media",0,NA,"C D Reiss","1942833288",16.14,"9.78194E+12",NA,2016-11-13,NA,"by C. D. Reiss","MARRIAGE GAMES","Young Adult",0
"1433","Scribner",0,NA,"M L Stedman","1451681763",0.08,"9.78145E+12",NA,2016-11-06,NA,"by M. L. Stedman","THE LIGHT BETWEEN OCEANS","Young Adult",0
"1434","Dial",0,NA,"Annie Barrows","812997840",3.51,"9.78081E+12",NA,2016-11-06,NA,"by Annie Barrows","THE TRUTH ACCORDING TO US","Young Adult",0
"1435","Little, Brown",0,"https://www.nytimes.com/2016/10/09/books/review/maria-semple-today-will-be-different.html","Maria Semple","316403431",9.8,"9.78032E+12",NA,2016-11-06,NA,"by Maria Semple","TODAY WILL BE DIFFERENT","Young Adult",0
"1436","Flatiron",0,NA,"Mark Frost","1250075580",3.97,"9.78125E+12",NA,2016-11-06,NA,"by Mark Frost","THE SECRET HISTORY OF TWIN PEAKS","Young Adult",0
"1437","CP Publishing",0,NA,"Carly Phillips","1942288093",9.73,"9.78194E+12",NA,2016-10-30,NA,"by Carly Phillips","GOING DOWN FAST","Teen",0
"1438","Kendall Ryan",0,NA,"Kendall Ryan","None",19.29,"A00B01L87ZZMG",NA,2016-10-30,NA,"by Kendall Ryan","THE FIX UP","Adult",0
"1439","Gallery",0,NA,"Christina Lauren","1501128000",18.99,"9.7815E+12",NA,2016-10-23,NA,"by Christina Lauren","BEAUTIFUL","Young Adult",0
"1440","Knopf",0,"https://www.nytimes.com/2016/09/25/books/review/carl-hiaasen-razor-girl.html","Carl Hiaasen","385349750",0.65,"9.78039E+12",NA,2016-10-23,NA,"by Carl Hiaasen","RAZOR GIRL","Adult",0
"1441","St. Martin's",0,NA,"Jeffrey Archer","1466867507",0.46,"9.78147E+12",NA,2016-10-23,NA,"by Jeffrey Archer","COMETH THE HOUR","Young Adult",0
"1442","St. Martin's Griffin",0,NA,"Diane Chamberlain","1250010721",6.67,"9.78125E+12",NA,2016-10-16,NA,"by Diane Chamberlain","THE SILENT SISTER","Teen",0
"1443","Avon",0,NA,"Tessa Dare","62349058",5.08,"9.78006E+12",NA,2016-10-16,NA,"by Tessa Dare","DO YOU WANT TO START A SCANDAL","Young Adult",0
"1444","Avon",0,NA,"Jill Shalvis","62448056",18.79,"9.78006E+12",NA,2016-10-16,NA,"by Jill Shalvis","THE TROUBLE WITH MISTLETOE","Adult",0
"1445","HTJB",0,NA,"Marie Force","1942295839",16.21,"9.78194E+12",NA,2016-10-16,NA,"by Marie Force","SEX MACHINE","Adult",0
"1446","Morrow/HarperCollins",0,NA,"Karin Slaughter","62430238",5.96,"9.78006E+12",NA,2016-10-16,NA,"by Karin Slaughter","THE KEPT WOMAN","Young Adult",0
"1447","Putnam",0,NA,"Clive Cussler and Robin Burcell","399183973",12.68,"9.7804E+12",NA,2016-10-09,NA,"by Clive Cussler and Robin Burcell","PIRATE","Young Adult",0
"1448","EverAfter Romance",0,NA,"Penelope Ward and Vi Keeland","1942215495",6.87,"9.78194E+12",NA,2016-10-09,NA,"by Penelope Ward and Vi Keeland","PLAYBOY PILOT","Adult",0
"1449","Doubleday",0,NA,"John Grisham","553393480",10.97,"9.78055E+12",NA,2016-10-09,NA,"by John Grisham","ROGUE LAWYER","Teen",0
"1450","Delacorte",0,NA,"Danielle Steel","425285375",5.28,"9.78043E+12",NA,2016-10-02,NA,"by Danielle Steel","RUSHING WATERS","Childhood",0
"1451","Grand Central",0,NA,"Sandra Brown","1455581232",5.35,"9.78146E+12",NA,2016-10-02,NA,"by Sandra Brown","STING","Teen",0
"1452","Penguin",0,NA,"Jojo Moyes","143130153",13.81,"9.78014E+12","https://www.nytimes.com/2013/01/06/books/review/me-before-you-by-jojo-moyes.html",2016-10-02,NA,"by Jojo Moyes","ME BEFORE YOU","Adult",0
"1453","Atria",0,NA,"William Kent Krueger","1476749280",11.59,"9.78148E+12",NA,2016-09-25,NA,"by William Kent Krueger","MANITOU CANYON","Teen",0
"1454","Morrow/HarperCollins",0,NA,"Patricia Cornwell","62325426",13.28,"9.78006E+12",NA,2016-09-25,NA,"by Patricia Cornwell","DEPRAVED HEART","Adult",0
"1455","Pamela Dorman/Viking",0,NA,"Jojo Moyes","143108867",8.14,"9.78014E+12",NA,2016-09-25,NA,"by Jojo Moyes","AFTER YOU","Young Adult",0
"1456","Knopf",0,"https://www.nytimes.com/2016/09/04/books/review/the-nix-nathan-hill.html","Nathan Hill","1101946628",9.04,"9.7811E+12",NA,2016-09-18,NA,"by Nathan Hill","THE NIX","Teen",0
"1457","HarperCollins",0,NA,"Jodi Picoult","61980242",10.9,"9.78006E+12","https://www.nytimes.com/1998/08/02/books/books-in-brief-fiction-060151.html",2016-09-11,NA,"by Jodi Picoult","THE PACT","Young Adult",0
"1458","Fine Line",0,NA,"Eva Natiello",NA,2.29,"A00B00LAI2SV0",NA,2016-09-11,NA,"by Eva Natiello","THE MEMORY BOX","Childhood",0
"1459","Harper",0,NA,"Daniel Silva","62320246",5.63,"9.78006E+12",NA,2016-09-04,NA,"by Daniel Silva","THE BLACK WIDOW","Young Adult",0
"1460","Berkley",0,NA,"Joanna Wylde","None",5.13,"9.7811E+12",NA,2016-08-28,NA,"by Joanna Wylde","REAPER S FIRE","Childhood",0
"1461","Atria",0,NA,"Colleen Hoover","1501110373",17.65,"9.7815E+12",NA,2016-08-28,NA,"by Colleen Hoover","IT ENDS WITH US","Adult",0
"1462","Vi Keeland",0,NA,"Vi Keeland","1942215460",16.79,"9.78194E+12",NA,2016-08-21,NA,"by Vi Keeland","BOSSMAN","Young Adult",0
